epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix
0,0.0,23.0,23,True,False,(((cos((((x+(((log((x+x))*x)+x)/x))/x)-x))*x)-x)+x),[add sub mul cos sub div add x div add mul log add x x x x x x x x x x]
0,0.0,18.0,18,True,False,((cos(((((((((x+log(x))+((x)**(0.5)))*x)+x))**(0.5)))**(0.5)))+x)*x),[mul add cos sqrt sqrt add mul add add x log x sqrt x x x x x]
0,0.0,15.0,15,True,False,cos(((log((x+((((x*x)*((x)**(0.5)))-x)*x))))**(0.5))),[cos sqrt log add x mul sub mul mul x x sqrt x x x]
0,0.0,20.0,20,True,False,(cos((((log(((x-((((x*x)+x)-x)+x))-x))*x))**(0.5)))-x),[sub cos sqrt mul log sub sub x add sub add mul x x x x x x x x]
0,0.0,23.0,23,True,False,((log(((cos((((((((x)**(0.5))+((x/x)/x))/x)*x)/x)-x)))**(0.5)))/x)+x),[add div log sqrt cos sub div mul div add sqrt x div div x x x x x x x x x]
0,0.0,19.0,19,True,False,(cos(log(x))/((((((sin(x)/(x+x))/(x-x))-x)+x))**(0.5))),[div cos log x sqrt add sub div div sin x add x x sub x x x x]
0,0.0,21.0,21,True,False,(sin((log((((((x*x)+((x-x)+x))-x)+x)+x))/x))/x),[div sin div log add add sub add mul x x add sub x x x x x x x x]
0,0.0,21.0,21,True,False,(cos((log(x)-((((((x-log(((x-x)/x))))**(0.5))-x)-x)/x)))+x),[add cos sub log x div sub sub sqrt sub x log div sub x x x x x x x]
0,0.0,17.0,17,True,False,sin((((((((((((x)**(0.5))/((log(x)+x)/x))-x))**(0.5))/x))**(0.5)))**(0.5))),[sin sqrt sqrt div sqrt sub div sqrt x div add log x x x x x]
0,0.0,21.0,21,True,False,sin(log(((((x)**(0.5))+(((((((x*x)+x))**(0.5))/(x-x))/x)+x))-x))),[sin log sub add sqrt x add div div sqrt add mul x x x sub x x x x x]
0,0.0,16.0,16,True,False,(((sin((((((((log(x))**(0.5)))**(0.5))*x))**(0.5)))/(x+x))*x)/x),[div mul div sin sqrt mul sqrt sqrt log x x add x x x x]
0,0.0,21.0,21,True,False,log(cos(((((x*(((x+((x/x)-x))*x)-x))*x)-x)+x))),[log cos add sub mul mul x sub mul add x sub div x x x x x x x x]
0,0.0,15.0,15,True,False,(sin(((((((x)**(0.5)))**(0.5)))**(0.5)))+((((x-cos((x/x)))*x))**(0.5))),[add sin sqrt sqrt sqrt x sqrt mul sub x cos div x x x]
0,0.0,20.0,20,True,False,sin(((log(((((((((x+x)/x)-x)*x)/x)+x))**(0.5)))/x)*x)),[sin mul div log sqrt add div mul sub div add x x x x x x x x x]
0,0.0,15.0,15,True,False,((log(cos((((x-x))**(0.5))))-((cos(x)/x)-x))-x),[sub sub log cos sqrt sub x x sub div cos x x x x]
0,0.0,21.0,21,True,False,log(((((((cos(((x-((((x/x))**(0.5))-x))+x))-x)+x))**(0.5))-x)*x)),[log mul sub sqrt add sub cos add sub x sub sqrt div x x x x x x x x]
0,0.0,14.0,14,True,False,cos((log((((x)**(0.5))-(x*x)))/((x+x)+x))),[cos div log sub sqrt x mul x x add add x x x]
0,0.0,23.0,23,True,False,(((log((sin(((((x/(((((x+x)/x))**(0.5))*x)))**(0.5))+x))+x))-x)/x)/x),[div div sub log add sin add sqrt div x mul sqrt div add x x x x x x x x x]
0,0.0,17.0,17,True,False,sin(log((((x*(((((((x-(x-x))-((x)**(0.5))))**(0.5)))**(0.5))/x)))**(0.5)))),[sin log sqrt mul x div sqrt sqrt sub sub x sub x x sqrt x x]
0,0.0,19.0,19,True,False,((((log(cos(((x*x)/((x+x)-x))))-x)+x)+x)/x),[div add add sub log cos div mul x x sub add x x x x x x x]
0,0.0,17.0,17,True,False,(sin(log((x-(((((x+x)*x)*x)-x)/x))))+x),[add sin log sub x div sub mul mul add x x x x x x x]
0,0.0,20.0,20,True,False,log(((((x*((cos((((((x+((x)**(0.5)))-x)+x))**(0.5)))+x)+x)))**(0.5))*x)),[log mul sqrt mul x add add cos sqrt add sub add x sqrt x x x x x x]
0,0.0,16.0,16,True,False,log(cos((((((((x-(x+x)))**(0.5))-x)-x)*x)-x))),[log cos sub mul sub sub sqrt sub x add x x x x x x]
0,0.0,14.0,14,True,False,(log(x)*((log(((sin(x)+x)/x))/x)*x)),[mul log x mul div log div add sin x x x x x]
0,0.0,19.0,19,True,False,(((cos(((x+((x/x)/(x-log(x))))-x))*x)-x)*x),[mul sub mul cos sub add x div div x x sub x log x x x x x]
0,0.0,19.0,19,True,False,((cos(((x-(((((((x*((x)**(0.5)))-x)*x))**(0.5)))**(0.5)))+x))+x)*x),[mul add cos add sub x sqrt sqrt mul sub mul x sqrt x x x x x x]
0,0.0,15.0,15,True,False,log(cos(((x-((((x/x)-x)*x)-x))*x))),[log cos mul sub x sub mul sub div x x x x x x]
0,0.0,16.0,16,True,False,(((x*(((cos(x)/(x/cos((x*x))))+x)+x)))**(0.5)),[sqrt mul x add add div cos x div x cos mul x x x x]
0,0.0,18.0,18,True,False,(((log((((cos((((x)**(0.5))*x))/(((x*x))**(0.5)))/x)+x))/x))**(0.5)),[sqrt div log add div div cos mul sqrt x x sqrt mul x x x x x]
0,0.0,24.0,24,True,False,((((((log(cos(((((((x*x)+x))**(0.5))/x)+x)))-x)*x)*x)+x)/x)-x),"[sub div add mul mul sub log cos add div sqrt add mul x x x x x x x x x x
 x]"
0,0.0,16.0,16,True,False,((((sin(((x)**(0.5)))-(((x/cos(x)))**(0.5)))-cos(x))/x)+x),[add div sub sub sin sqrt x sqrt div x cos x cos x x x]
0,0.0,12.0,12,True,False,((cos(log((x-(((x)**(0.5))/(((x*x))**(0.5)))))))**(0.5)),[sqrt cos log sub x div sqrt x sqrt mul x x]
0,0.0,15.0,15,True,False,log(cos(((((x)**(0.5))*(((((x)**(0.5))/x)+x)+x))*x))),[log cos mul mul sqrt x add add div sqrt x x x x x]
0,0.0,16.0,16,True,False,(sin(x)+(cos(((((((x+x)-x)-x))**(0.5))-x))+x)),[add sin x add cos sub sqrt sub sub add x x x x x x]
0,0.0,18.0,18,True,False,cos((((((x+log(((((x+x)-x)+x)-x)))*x)+x))**(0.5))),[cos sqrt add mul add x log sub add sub add x x x x x x x]
0,0.0,18.0,18,True,False,cos((log((((((((x+(x/x))-x)-x)-x)*x))**(0.5)))-x)),[cos sub log sqrt mul sub sub sub add x div x x x x x x x]
0,0.0,20.0,20,True,False,log((sin(x)+sin(((((((x+(x*x))*x)*x)+x)-x)/x)))),[log add sin x sin div sub add mul mul add x mul x x x x x x x]
0,0.0,20.0,20,True,False,cos((((x)**(0.5))+(x*((((((((x*x)+x)*x)+x)*x))**(0.5))+x)))),[cos add sqrt x mul x add sqrt mul add mul add mul x x x x x x x]
0,0.0,15.0,15,True,False,((((x/cos((((((log(x)+x)+x)/x))**(0.5)))))**(0.5))+x),[add sqrt div x cos sqrt div add add log x x x x x]
0,0.0,17.0,17,True,False,sin(((log(((((x-(((x)**(0.5))-x))+(x/x))*x)/x)))**(0.5))),[sin sqrt log div mul add sub x sub sqrt x x div x x x x]
0,0.0,16.0,16,True,False,cos(((((((((log(x)*(x-x)))**(0.5))-((x)**(0.5)))*x)-x))**(0.5))),[cos sqrt sub mul sub sqrt mul log x sub x x sqrt x x x]
0,0.0,20.0,20,True,False,(sin(((log(x)+((((((log((x+(x-x))))**(0.5)))**(0.5))+x)*x))+x))-x),[sub sin add add log x mul add sqrt sqrt log add x sub x x x x x x]
0,0.0,17.0,17,True,False,((((cos(x)+(cos(((((((x)**(0.5)))**(0.5))*log(x))+x))/x)))**(0.5))*x),[mul sqrt add cos x div cos add mul sqrt sqrt x log x x x x]
0,0.0,7.0,7,True,False,sin((log(((x)**(0.5)))/log(x))),[sin div log sqrt x log x]
0,0.0,18.0,18,True,False,(x*(cos((((((((x*((x)**(0.5)))+x)-x)+x)/x))**(0.5)))-x)),[mul x sub cos sqrt div add sub add mul x sqrt x x x x x x]
0,0.0,18.0,18,True,False,log(cos((((((x*x))**(0.5))-x)+(((x/(x/x))*x)-x)))),[log cos add sub sqrt mul x x x sub mul div x div x x x x]
0,0.0,23.0,23,True,False,log((((((((((sin((x/x))*x)-x)+x)/x)*x)-x)+x)*x)+x)),[log add mul add sub mul div add sub mul sin div x x x x x x x x x x x]
0,0.0,24.0,24,True,False,(sin((((((((((x+x)*(x/x))-x)+x)-x)*x)/x)-x)-x))/x),[div sin sub sub div mul sub add sub mul add x x div x x x x x x x x x x]
0,0.0,20.0,20,True,False,log(((x/sin((((((((x)**(0.5))*(x-x))+x)-x)+x)-x)))-x)),[log sub div x sin sub add sub add mul sqrt x sub x x x x x x x]
0,0.0,18.0,18,True,False,(((sin(((((((((x+x)*x)/x)-x))**(0.5))*x)/x)))**(0.5))+x),[add sqrt sin div mul sqrt sub div mul add x x x x x x x x]
0,0.0,22.0,22,True,False,(((x+(cos(log((((((((x-x)*x)-x)*x)*x)/x)+x)))*x)))**(0.5)),[sqrt add x mul cos log add div mul mul sub mul sub x x x x x x x x x]
0,0.0,19.0,19,True,False,((((log((((((sin(((x+x)-x)))**(0.5))*x)/x)+x)))**(0.5))+x)/x),[div add sqrt log add div mul sqrt sin sub add x x x x x x x x]
0,0.0,15.0,15,True,False,(cos(((((x)**(0.5))*((((log(((x)**(0.5))))**(0.5)))**(0.5)))/(x*x)))*x),[mul cos div mul sqrt x sqrt sqrt log sqrt x mul x x x]
0,0.0,20.0,20,True,False,(log((((cos(((((x-((x)**(0.5)))+x)-x)/x))*x)-x)+x))/x),[div log add sub mul cos div sub add sub x sqrt x x x x x x x x]
0,0.0,17.0,17,True,False,sin((x+(((((log(((((x+x)+x)/x)/x)))**(0.5)))**(0.5))*x))),[sin add x mul sqrt sqrt log div div add add x x x x x x]
0,0.0,18.0,18,True,False,sin((((((((((((x/x)*((x)**(0.5)))+(x-x))-x))**(0.5)))**(0.5))*x))**(0.5))),[sin sqrt mul sqrt sqrt sub add mul div x x sqrt x sub x x x x]
0,0.0,21.0,21,True,False,log((((((((((((sin((x/x))-x)-x)*x)/x)*x)*x))**(0.5))*x))**(0.5))),[log sqrt mul sqrt mul mul div mul sub sub sin div x x x x x x x x x]
0,0.0,13.0,13,True,False,(((cos(log((x+x))))**(0.5))*sin((((x)**(0.5))/log(x)))),[mul sqrt cos log add x x sin div sqrt x log x]
0,0.0,14.0,14,True,False,(x/(cos(x)-((log(x)/cos(((log(x))**(0.5))))/x))),[div x sub cos x div div log x cos sqrt log x x]
0,0.0,21.0,21,True,False,((sin(((log(x)-((((((((x-x))**(0.5))/x)+x))**(0.5))/x))-x))-x)-x),[sub sub sin sub sub log x div sqrt add div sqrt sub x x x x x x x x]
